ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE												
SMa1118	Hsp20/alpha crystallin family protein(SM2011_RS03045)	Sinorhizobium meliloti 2011				IPR002068:Alpha crystallin/Hsp20 domain,IPR008978:HSP20-like chaperone,			KW-0346~Stress response,						DOMAIN:SHSP,REGION:Disordered,												
SM_b21294	Hsp20/alpha crystallin family protein(SM2011_RS10620)	Sinorhizobium meliloti 2011				IPR002068:Alpha crystallin/Hsp20 domain,IPR008978:HSP20-like chaperone,			KW-0346~Stress response,						DOMAIN:SHSP,												
SMc02136	Hsp33 family molecular chaperone(SM2011_RS16940)	Sinorhizobium meliloti 2011	GO:0006457~protein folding,	GO:0005737~cytoplasm,	GO:0051082~unfolded protein binding,	IPR000397:Heat shock protein Hsp33,IPR016153:Heat shock protein Hsp33, N-terminal,IPR016154:Heat shock protein Hsp33, C-terminal,IPR023212:Heat shock protein Hsp33, helix hairpin bin domain,	PIRSF005261:chaperonin, HSP33 type,			KW-0963~Cytoplasm,	KW-0676~Redox-active center,	KW-0862~Zinc,	KW-0143~Chaperone,	KW-1015~Disulfide bond,													
SMc02376	Hsp70 family protein(SM2011_RS19570)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,	IPR013126:Heat shock protein 70 family,IPR018181:Heat shock protein 70, conserved site,			KW-0346~Stress response,			KW-0067~ATP-binding,KW-0547~Nucleotide-binding,															
SM_b21257	Hypothetical adenylate cyclase, truncated protein(SM_b21257)	Sinorhizobium meliloti 1021													COMPBIAS:Basic and acidic residues,REGION:Disordered,												
SMc01488	Hypothetical transmembrane protein(SMc01488)	Sinorhizobium meliloti 1021		GO:0016021~integral component of membrane,		IPR009325:Protein of unknown function DUF983,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SMc00815	IMP dehydrogenase(guaB)	Sinorhizobium meliloti 2011	GO:0006177~GMP biosynthetic process,		GO:0000166~nucleotide binding,GO:0003938~IMP dehydrogenase activity,GO:0046872~metal ion binding,	IPR000644:Cystathionine beta-synthase, core,IPR001093:IMP dehydrogenase/GMP reductase,IPR005990:Inosine-5'-monophosphate dehydrogenase,IPR013785:Aldolase-type TIM barrel,IPR015875:IMP dehydrogenase / GMP reductase, conserved site,	PIRSF000130:inosine-5'-monophosphate dehydrogenase,	SM00116:CBS,				KW-0520~NAD,KW-0630~Potassium,			ACT_SITE:Proton acceptor,ACT_SITE:Thioimidate intermediate,BINDING:IMP,BINDING:NAD,DOMAIN:CBS,METAL:Potassium	 via carbonyl oxygen,METAL:Potassium	 via carbonyl oxygen	 shared with tetrameric partner,NP_BIND:NAD,REGION:IMP binding,									
SMa0776	IS21-like element helper ATPase IstB(istB)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,	IPR002611:IstB-like ATP-binding protein,IPR003593:AAA+ ATPase domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	PIRSF003073:DNA replication protein DnaC/Putative insertion sequence ATP-binding protein/Putative transposase associated ATP binding protein,	SM00382:AAA,				KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:AAA,												
SMa1073	IS21-like element helper ATPase IstB(istB)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,	IPR002611:IstB-like ATP-binding protein,IPR003593:AAA+ ATPase domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	PIRSF003073:DNA replication protein DnaC/Putative insertion sequence ATP-binding protein/Putative transposase associated ATP binding protein,	SM00382:AAA,				KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:AAA,												
SM_b21691	LLM class flavin-dependent oxidoreductase(SM2011_RS13875)	Sinorhizobium meliloti 2011			GO:0004497~monooxygenase activity,GO:0008726~alkanesulfonate monooxygenase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,	IPR011251:Luciferase-like domain,IPR016215:Nitrilotriacetate monooxygenase component A/pristinamycin IIA synthase subunit A,	PIRSF000337:nitrilotriacetate monooxygenase component A/pristinamycin IIA synthase subunit A,					KW-0285~Flavoprotein,KW-0288~FMN,	KW-0503~Monooxygenase,KW-0560~Oxidoreductase,		BINDING:FMN,BINDING:FMN	 via amide nitrogen and carbonyl oxygen,DOMAIN:Bac_luciferase,NP_BIND:FMN binding,											
SMc03968	LLM class flavin-dependent oxidoreductase(SM2011_RS28395)	Sinorhizobium meliloti 2011			GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,	IPR011251:Luciferase-like domain,IPR019949:Luciferase family oxidoreductase, group 1,							KW-0560~Oxidoreductase,		DOMAIN:Bac_luciferase,												
SMc02981	LysE family translocator(SM2011_RS29000)	Sinorhizobium meliloti 2011	GO:0006865~amino acid transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR001123:Lysine-type exporter protein (LYSE/YGGA),	PIRSF006324:amino acid efflux protein, LeuE type,			KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,												
SMa1131	MBL fold metallo-hydrolase(SM2011_RS03075)	Sinorhizobium meliloti 2011				IPR001279:Beta-lactamase-like,IPR011108:RNA-metabolising metallo-beta-lactamase,IPR022712:Beta-Casp domain,		SM00849:SM00849,SM01027:SM01027,							DOMAIN:Beta-Casp,DOMAIN:Lactamase_B,												
SMa1811	MBL fold metallo-hydrolase(SM2011_RS04990)	Sinorhizobium meliloti 2011				IPR001279:Beta-lactamase-like,IPR006311:Twin-arginine translocation pathway, signal sequence,		SM00849:SM00849,			KW-0732~Signal,		KW-0378~Hydrolase,		DOMAIN:Lactamase_B,												
SMc03970	MBL fold metallo-hydrolase(SM2011_RS28405)	Sinorhizobium meliloti 2011									KW-0732~Signal,		KW-0378~Hydrolase,														
SMc01869	MHS family MFS transporter(SM2011_RS25445)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0022857~transmembrane transporter activity,	IPR004736:Citrate-proton symport,IPR005828:General substrate transporter,IPR005829:Sugar transporter, conserved site,IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain,				KW-0472~Membrane,	KW-0812~Transmembrane,				DOMAIN:MFS,TRANSMEM:Helical,												
SMa1096	MarC family protein(SM2011_RS03000)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR002771:Multiple antibiotic resistance (MarC)-related,				KW-0472~Membrane,KW-1003~Cell membrane,					TRANSMEM:Helical,												
SMc03824	MarR family transcriptional regulator(SM2011_RS30740)	Sinorhizobium meliloti 2011			GO:0003700~transcription factor activity, sequence-specific DNA binding,	IPR000835:Transcription regulator HTH, MarR-type,IPR023187:Transcriptional regulator MarR-type, conserved site,		SM00347:HTH_MARR,							DOMAIN:HTH marR-type,												
SMc03157	MetQ/NlpA family ABC transporter substrate-binding protein(SM2011_RS29075)	Sinorhizobium meliloti 2011		GO:0016020~membrane,		IPR004872:Lipoprotein NlpA family,	PIRSF002854:D-methionine binding lipoprotein, MetQ type,			KW-0472~Membrane,	KW-0732~Signal,			KW-0449~Lipoprotein,													
SMa2034	MoaD/ThiS family protein(SM2011_RS05620)	Sinorhizobium meliloti 2011				IPR003749:ThiamineS/Molybdopterin converting factor subunit 1,IPR012675:Beta-grasp domain,IPR016155:Molybdopterin synthase/thiamin biosynthesis sulphur carrier, beta-grasp,					KW-0175~Coiled coil,																
SMc03033	MotE family protein(SM2011_RS17690)	Sinorhizobium meliloti 2011								KW-0282~Flagellum,KW-0966~Cell projection,KW-0969~Cilium,	KW-0175~Coiled coil,KW-0732~Signal,																
SMc03168	Multidrug resistance efflux system(SMc03168)	Sinorhizobium meliloti 1021	GO:0055085~transmembrane transport,	GO:0016021~integral component of membrane,						KW-0472~Membrane,	KW-0175~Coiled coil,KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:CusB_dom_1,DOMAIN:HlyD_D23,REGION:Disordered,TRANSMEM:Helical,												
SMc01159	NAD(P)/FAD-dependent oxidoreductase(SM2011_RS16150)	Sinorhizobium meliloti 2011			GO:0016491~oxidoreductase activity,	IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,							KW-0560~Oxidoreductase,		DOMAIN:Pyr_redox_2,												
SMc04452	NAD(P)/FAD-dependent oxidoreductase(SM2011_RS24970)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0016491~oxidoreductase activity,	IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,				KW-0472~Membrane,	KW-0812~Transmembrane,	KW-0830~Ubiquinone,	KW-0560~Oxidoreductase,		DOMAIN:Pyr_redox_2,												
SMc00943	NAD(P)H:quinone oxidoreductase type IV(wrbA)	Sinorhizobium meliloti 2011			GO:0008753~NADPH dehydrogenase (quinone) activity,GO:0010181~FMN binding,GO:0050136~NADH dehydrogenase (quinone) activity,GO:0050660~flavin adenine dinucleotide binding,GO:0050661~NADP binding,GO:0051287~NAD binding,	IPR005025:NADPH-dependent FMN reductase,IPR008254:Flavodoxin/nitric oxide synthase,IPR010089:Flavoprotein WrbA,						KW-0285~Flavoprotein,KW-0288~FMN,KW-0520~NAD,KW-0521~NADP,KW-0547~Nucleotide-binding,	KW-0560~Oxidoreductase,		BINDING:FMN,BINDING:NAD,BINDING:Substrate,DOMAIN:Flavodoxin-like,NP_BIND:FMN,												
SMa1194	NnrS family protein(SM2011_RS03260)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR010266:NnrS,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SMa0864	Nod factor export ATP-binding protein I(nodI)	Sinorhizobium meliloti 1021		GO:0005886~plasma membrane,	GO:0005524~ATP binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR005978:Nodulation ABC transporter, NodI,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0536~Nodulation,KW-0813~Transport,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,		DOMAIN:ABC transporter,NP_BIND:ATP,												
SMa1809	Non-heme haloperoxidase(SMa1809)	Sinorhizobium meliloti 1021			GO:0004601~peroxidase activity,	IPR000073:Alpha/beta hydrolase fold-1,							KW-0560~Oxidoreductase,KW-0575~Peroxidase,		DOMAIN:AB hydrolase-1,												
SMa1269	NorD accessory protein for nitric oxide reductase(norD)	Sinorhizobium meliloti 1021				IPR002035:von Willebrand factor, type A,		SM00327:VWA,							COMPBIAS:Basic and acidic residues,DOMAIN:VWFA,REGION:Disordered,												
SMa1279	NorE accessory protein for nitric oxide reductase(norE)	Sinorhizobium meliloti 1021	GO:0019646~aerobic electron transport chain,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004129~cytochrome-c oxidase activity,	IPR000298:Cytochrome c oxidase, subunit III,IPR013833:Cytochrome c oxidase, subunit III, 4-helical bundle,IPR024791:Cytochrome c/ubiquinol oxidase subunit III,				KW-0472~Membrane,					DOMAIN:COX3,TRANSMEM:Helical,												
SM_b20944	O-antigen ligase family protein(SM2011_RS11910)	Sinorhizobium meliloti 2011	GO:0000271~polysaccharide biosynthetic process,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,					KW-0270~Exopolysaccharide synthesis,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SM_b21505	O-antigen ligase family protein(SM2011_RS13155)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR007016:O-antigen ligase-related,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SMa1386	Oxidoreductase(SMa1386)	Sinorhizobium meliloti 1021			GO:0016491~oxidoreductase activity,	IPR006076:FAD dependent oxidoreductase,							KW-0560~Oxidoreductase,		DOMAIN:DAO,												
SMc03137	PIN domain-containing protein(SM2011_RS29410)	Sinorhizobium meliloti 2011				IPR002716:PIN domain,									DOMAIN:PINc,												
SMc01267	PrkA family serine protein kinase(SM2011_RS21450)	Sinorhizobium meliloti 2011			GO:0004672~protein kinase activity,	IPR010650:PrkA C-terminal domain,IPR013153:PrkA AAA domain,IPR016230:Serine-protein kinase, PrkA,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	PIRSF000549:serine-protein kinase, PrkA type,	SM00763:AAA_PrkA,					KW-0418~Kinase,KW-0808~Transferase,		DOMAIN:AAA_PrkA,												
SMa1084	Probable phosphoketolase 2(RA0587)	Sinorhizobium meliloti 1021	GO:0005975~carbohydrate metabolic process,		GO:0016832~aldehyde-lyase activity,	IPR005593:Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase,IPR009014:Transketolase, C-terminal/Pyruvate-ferredoxin oxidoreductase, domain II,IPR018969:Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, C-terminal,IPR018970:Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, N-terminal,IPR019789:Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, thiamine diphosphate binding site,IPR019790:Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, conserved site,IPR023962:Probable phosphoketolase,	PIRSF017245:phosphoketolase,					KW-0786~Thiamine pyrophosphate,	KW-0456~Lyase,														
SMc00888	Putative 2-component receiver domain protein(SMc00888)	Sinorhizobium meliloti 1021	GO:0000160~phosphorelay signal transduction system,			IPR000014:PAS domain,IPR001789:Signal transduction response regulator, receiver domain,IPR011006:CheY-like superfamily,IPR013656:PAS fold-4,		SM00091:PAS,SM00448:REC,						KW-0597~Phosphoprotein,	DOMAIN:PAS,DOMAIN:Response regulatory,												
SMc03789	Putative DNA polymerase(imuB)	Sinorhizobium meliloti 1021	GO:0006281~DNA repair,		GO:0003887~DNA-directed DNA polymerase activity,	IPR001126:DNA-repair protein, UmuC-like,							KW-0548~Nucleotidyltransferase,KW-0808~Transferase,		DOMAIN:UmuC,												
SM_b20368	Putative efflux transporter(SM_b20368)	Sinorhizobium meliloti 1021		GO:0016020~membrane,	GO:0022857~transmembrane transporter activity,	IPR006143:RND efflux pump, membrane fusion protein,					KW-0175~Coiled coil,				DOMAIN:CusB_dom_1,DOMAIN:HlyD_D23,												
SM_b20857	Putative glucose-6-phosphate isomerase 2(pgiA2)	Sinorhizobium meliloti 1021	GO:0006094~gluconeogenesis,GO:0006096~glycolytic process,	GO:0005737~cytoplasm,	GO:0004347~glucose-6-phosphate isomerase activity,GO:0005506~iron ion binding,	IPR010551:Glucose-6-phosphate isomerase, prokaryote,IPR011051:RmlC-like cupin domain,IPR014710:RmlC-like jelly roll fold,IPR016758:Glucose-6-phosphate isomerase, subgroup,	PIRSF019325:glucose-6-phosphate isomerase,		KW-0312~Gluconeogenesis,KW-0324~Glycolysis,	KW-0963~Cytoplasm,		KW-0408~Iron,KW-0479~Metal-binding,	KW-0413~Isomerase,		METAL:Iron,												
SMc00638	Putative heat resistant agglutinin 1 protein(SMc00638)	Sinorhizobium meliloti 1021				IPR011250:Outer membrane protein/outer membrane enzyme PagP , beta-barrel,IPR027385:Outer membrane protein beta-barrel,					KW-0732~Signal,				DOMAIN:OMP_b-brl,												
SM_b21281	Putative integral membrane transporter protein,xanthineuracil permeases family(SM_b21281)	Sinorhizobium meliloti 1021		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0015205~nucleobase transmembrane transporter activity,	IPR006043:Xanthine/uracil/vitamin C permease,IPR026033:Purine permease PbuG-like,	PIRSF005353:guanine/hypoxanthine permease,			KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,												
SMc02868	Putative multidrug efflux system(SMc02868)	Sinorhizobium meliloti 1021		GO:0016020~membrane,	GO:0022857~transmembrane transporter activity,	IPR006143:RND efflux pump, membrane fusion protein,					KW-0175~Coiled coil,				DOMAIN:CusB_dom_1,DOMAIN:HlyD_D23,REGION:Disordered,												
SMc02040	Putative oxidoreductase(SMc02040)	Sinorhizobium meliloti 1021			GO:0016491~oxidoreductase activity,	IPR002347:Glucose/ribitol dehydrogenase,IPR020904:Short-chain dehydrogenase/reductase, conserved site,							KW-0560~Oxidoreductase,		REGION:Disordered,												
SM_b21346	Putative transcriptional regulator, LacI family protein(SM_b21346)	Sinorhizobium meliloti 1021	GO:0006355~regulation of transcription, DNA-templated,		GO:0003677~DNA binding,	IPR000843:Transcription regulator HTH, LacI,IPR010982:Lambda repressor-like, DNA-binding domain,		SM00354:HTH_LACI,	KW-0804~Transcription,KW-0805~Transcription regulation,				KW-0238~DNA-binding,		DOMAIN:HTH lacI-type,												
SMc04051	RNA polymerase sigma factor(SM2011_RS28805)	Sinorhizobium meliloti 2011	GO:0006352~DNA-templated transcription, initiation,		GO:0003677~DNA binding,GO:0016987~sigma factor activity,	IPR007627:RNA polymerase sigma-70 region 2,IPR013249:RNA polymerase sigma factor 70, region 4 type 2,IPR013324:RNA polymerase sigma factor, region 3/4,IPR013325:RNA polymerase sigma factor, region 2,IPR014284:RNA polymerase sigma-70 like domain,									DOMAIN:Sigma70_r2,DOMAIN:Sigma70_r4_2,												
SMc02172	ROK family transcriptional regulator(SM2011_RS16725)	Sinorhizobium meliloti 2011				IPR000600:ROK,							KW-0418~Kinase,KW-0808~Transferase,		REGION:Disordered,												
SMc02470	ROK family transcriptional regulator(SM2011_RS29995)	Sinorhizobium meliloti 2011				IPR000600:ROK,							KW-0418~Kinase,KW-0808~Transferase,														
SMc03950	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha(SM2011_RS28945)	Sinorhizobium meliloti 2011			GO:0008750~NAD(P)+ transhydrogenase (AB-specific) activity,	IPR007698:Alanine dehydrogenase/PNT, NAD(H)-binding domain,IPR007886:Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal,IPR008143:Alanine dehydrogenase/pyridine nucleotide transhydrogenase, conserved site-2,		SM01002:SM01002,SM01003:SM01003,				KW-0520~NAD,	KW-0560~Oxidoreductase,		DOMAIN:AlaDh_PNT_C,DOMAIN:AlaDh_PNT_N,												
SMa2408	Rhizobactin siderophore biosynthesis protein RhbE(rhbE)	Sinorhizobium meliloti 1021	GO:0019289~rhizobactin 1021 biosynthetic process,		GO:0016491~oxidoreductase activity,	IPR025700:L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase,						KW-0274~FAD,KW-0285~Flavoprotein,KW-0521~NADP,	KW-0560~Oxidoreductase,		NP_BIND:FAD,												
SMa2337	RhtX rhizobactin transporter(rhtX)	Sinorhizobium meliloti 1021		GO:0016021~integral component of membrane,	GO:0008521~acetyl-CoA transporter activity,	IPR004752:AmpG-like permease/Acetyl-coenzyme A transporter 1,IPR014090:Siderophore transporter, RhtX/FptX family,IPR024371:Acetyl-coenzyme A transporter 1,				KW-0472~Membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,												
SMc01720	Ribonuclease P protein component(rnpA)	Sinorhizobium meliloti 1021	GO:0001682~tRNA 5'-leader removal,		GO:0000049~tRNA binding,GO:0004526~ribonuclease P activity,	IPR000100:Ribonuclease P,IPR014721:Ribosomal protein S5 domain 2-type fold, subgroup,IPR020568:Ribosomal protein S5 domain 2-type fold,			KW-0819~tRNA processing,				KW-0255~Endonuclease,KW-0378~Hydrolase,KW-0540~Nuclease,KW-0694~RNA-binding,														
SMc01160	Rrf2 family transcriptional regulator(SM2011_RS16145)	Sinorhizobium meliloti 2011				IPR000944:Transcription regulator Rrf2-like,																					
SM_b20170	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase(SM2011_RS07430)	Sinorhizobium meliloti 2011	GO:0006069~ethanol oxidation,		GO:0008270~zinc ion binding,	IPR002328:Alcohol dehydrogenase, zinc-type, conserved site,IPR011032:GroES-like,IPR013149:Alcohol dehydrogenase, C-terminal,IPR013154:Alcohol dehydrogenase GroES-like,IPR014183:Alcohol dehydrogenase class III/S-(hydroxymethyl)glutathione dehydrogenase,						KW-0479~Metal-binding,KW-0520~NAD,KW-0862~Zinc,			DOMAIN:ADH_N,DOMAIN:ADH_zinc_N,												
SMa0142	S8 family serine peptidase(SM2011_RS00390)	Sinorhizobium meliloti 2011			GO:0004252~serine-type endopeptidase activity,	IPR000209:Peptidase S8/S53 domain,IPR015500:Peptidase S8, subtilisin-related,IPR023828:Peptidase S8, subtilisin, Ser-active site,							KW-0378~Hydrolase,KW-0645~Protease,KW-0720~Serine protease,		DOMAIN:Peptidase_S8,REGION:Disordered,												
SMa1289	SCP2 domain-containing protein(SM2011_RS03510)	Sinorhizobium meliloti 2011				IPR003033:SCP2 sterol-binding domain,									DOMAIN:SCP2,												
SMa0329	SDR family oxidoreductase(SM2011_RS00920)	Sinorhizobium meliloti 2011			GO:0016491~oxidoreductase activity,	IPR002347:Glucose/ribitol dehydrogenase,IPR020904:Short-chain dehydrogenase/reductase, conserved site,																					
SM_b20409	SDR family oxidoreductase(SM2011_RS08575)	Sinorhizobium meliloti 2011			GO:0004316~3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,GO:0102132~3-oxo-pimeloyl-[acp] methyl ester reductase activity,	IPR002347:Glucose/ribitol dehydrogenase,IPR020904:Short-chain dehydrogenase/reductase, conserved site,							KW-0560~Oxidoreductase,														
SMc00062	SH3b domain-containing protein(SMc00062)	Sinorhizobium meliloti 1021				IPR003646:SH3-like domain, bacterial,		SM00287:SH3b,			KW-0732~Signal,				DOMAIN:SH3b,												
SMc03045	SLT domain-containing protein(SMc03045)	Sinorhizobium meliloti 1021				IPR008258:Lytic transglycosylase-like, catalytic,IPR023346:Lysozyme-like domain,					KW-0732~Signal,				DOMAIN:SLT,												
SMa1091	SRPBCC family protein(SM2011_RS02980)	Sinorhizobium meliloti 2011				IPR023393:START-like domain,																					
SM_b21490	SURF1-like protein(SM_b21490)	Sinorhizobium meliloti 1021		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR002994:Surfeit locus 1/Shy1,				KW-0472~Membrane,KW-1003~Cell membrane,					COMPBIAS:Basic and acidic residues,REGION:Disordered,TRANSMEM:Helical,												
SMa2339	Siderophore biosynthesis protein(SMa2339)	Sinorhizobium meliloti 1021	GO:0019290~siderophore biosynthetic process,		GO:0016746~transferase activity, transferring acyl groups,	IPR016181:Acyl-CoA N-acyltransferase,IPR019432:Siderophore biosynthesis protein, conserved domain,		SM01006:SM01006,							DOMAIN:AlcB,REGION:Disordered,												
SMc01265	SpoVR family protein(SM2011_RS21460)	Sinorhizobium meliloti 2011				IPR007390:Sporulation stage V, protein R,																					
SMa1082	Spy/CpxP family protein refolding chaperone(SM2011_RS02955)	Sinorhizobium meliloti 2011		GO:0042597~periplasmic space,		IPR012899:LTXXQ motif family protein,				KW-0574~Periplasm,	KW-0732~Signal,																
SMc00332	TIGR02300 family protein(SM2011_RS15605)	Sinorhizobium meliloti 2011				IPR012644:Conserved hypothetical protein CHP02300, FYDLN acid,									COMPBIAS:Acidic residues,REGION:Disordered,												
SMc04276	TIGR02594 family protein(SM2011_RS24785)	Sinorhizobium meliloti 2011				IPR013423:Conserved hypothetical protein CHP02594,					KW-0732~Signal,																
SM_b20100	TIGR03885 family FMN-dependent LLM class oxidoreductase(SM2011_RS07075)	Sinorhizobium meliloti 2011			GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,	IPR011251:Luciferase-like domain,IPR019945:F420-dependent glucose-6-phosphate dehydrogenase-related,IPR023907:Non-F420 flavinoid oxidoreductase,							KW-0560~Oxidoreductase,		DOMAIN:Bac_luciferase,												
SMc04283	TRAP transporter large permease subunit(SM2011_RS24795)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR004681:TRAP transporter permease protein,IPR010656:TRAP C4-dicarboxylate transport system permease DctM subunit,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:DctM,TRANSMEM:Helical,												
SMc01959	TRm1a transposase(TRm1a)	Sinorhizobium meliloti 1021	GO:0006313~transposition, DNA-mediated,		GO:0004803~transposase activity,GO:0043565~sequence-specific DNA binding,	IPR002514:Transposase IS3/IS911family,IPR010921:Trp repressor/replication initiator,					KW-0175~Coiled coil,																
SM_b20347	TetR family transcriptional regulator(SM2011_RS08265)	Sinorhizobium meliloti 2011			GO:0003677~DNA binding,	IPR001647:DNA-binding HTH domain, TetR-type,IPR009057:Homeodomain-like,							KW-0238~DNA-binding,		DNA_BIND:H-T-H motif,DOMAIN:HTH tetR-type,												
SMc02726	TonB-dependent hemoglobin/transferrin/lactoferrin family receptor(SM2011_RS26525)	Sinorhizobium meliloti 2011		GO:0009279~cell outer membrane,	GO:0015232~heme transporter activity,	IPR000531:TonB-dependent receptor, beta-barrel,IPR010949:TonB-dependent haemoglobin/transferrin/lactoferrin receptor,IPR011276:TonB-dependent haem/haemoglobin receptor,IPR012910:TonB-dependent receptor, plug,				KW-0472~Membrane,KW-0998~Cell outer membrane,	KW-0732~Signal,KW-0798~TonB box,		KW-0675~Receptor,		DOMAIN:Plug,DOMAIN:TonB_dep_Rec,REGION:Disordered,												
SMa2414	TonB-dependent receptor(SM2011_RS06415)	Sinorhizobium meliloti 2011	GO:0055072~iron ion homeostasis,	GO:0009279~cell outer membrane,GO:0016021~integral component of membrane,	GO:0015344~siderophore uptake transmembrane transporter activity,GO:0038023~signaling receptor activity,	IPR000531:TonB-dependent receptor, beta-barrel,IPR010105:TonB-dependent siderophore receptor,IPR012910:TonB-dependent receptor, plug,			KW-0406~Ion transport,KW-0410~Iron transport,KW-0813~Transport,	KW-0472~Membrane,KW-0998~Cell outer membrane,	KW-0732~Signal,KW-0798~TonB box,KW-0812~Transmembrane,KW-1134~Transmembrane beta strand,	KW-0408~Iron,	KW-0675~Receptor,		MOTIF:TonB C-terminal box,MOTIF:TonB box,												
SMc02890	TonB-dependent receptor(SM2011_RS15420)	Sinorhizobium meliloti 2011		GO:0009279~cell outer membrane,		IPR000531:TonB-dependent receptor, beta-barrel,IPR012910:TonB-dependent receptor, plug,				KW-0472~Membrane,KW-0998~Cell outer membrane,	KW-0732~Signal,KW-0798~TonB box,		KW-0675~Receptor,		DOMAIN:Plug,DOMAIN:TonB_dep_Rec,												
SMa1747	TonB-dependent siderophore receptor(SMa1747)	Sinorhizobium meliloti 1021		GO:0009279~cell outer membrane,	GO:0015344~siderophore uptake transmembrane transporter activity,GO:0038023~signaling receptor activity,	IPR000531:TonB-dependent receptor, beta-barrel,IPR010105:TonB-dependent siderophore receptor,IPR012910:TonB-dependent receptor, plug,				KW-0472~Membrane,KW-0998~Cell outer membrane,	KW-0732~Signal,KW-0798~TonB box,		KW-0675~Receptor,		DOMAIN:Plug,DOMAIN:TonB_dep_Rec,												
SMc01592	Transcription regulator MarR family(SMc01592)	Sinorhizobium meliloti 1021			GO:0003700~transcription factor activity, sequence-specific DNA binding,	IPR000835:Transcription regulator HTH, MarR-type,IPR023187:Transcriptional regulator MarR-type, conserved site,		SM00347:HTH_MARR,							DOMAIN:HTH marR-type,												
