ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
SinmeB_6195	oxygen-independent coproporphyrinogen III oxidase(hemN)	Sinorhizobium meliloti 2011	GO:0006782~protoporphyrinogen IX biosynthetic process,	GO:0005737~cytoplasm,	GO:0004109~coproporphyrinogen oxidase activity,GO:0046872~metal ion binding,GO:0051539~4 iron, 4 sulfur cluster binding,GO:0051989~coproporphyrinogen dehydrogenase activity,	IPR004558:Coproporphyrinogen III oxidase, oxygen-independent,  HemN,IPR006638:Elongator protein 3/MiaB/NifB,IPR007197:Radical SAM,IPR010723:HemN, C-terminal domain,IPR023404:Radical SAM, alpha/beta horseshoe,	PIRSF000167:oxygen independent coproporphyrinogen III oxidase,	SM00729:Elp3,		KW-0963~Cytoplasm,	KW-0175~Coiled coil,	KW-0004~4Fe-4S,KW-0408~Iron,	KW-0560~Oxidoreductase,		BINDING:S-adenosyl-L-methionine 1,BINDING:S-adenosyl-L-methionine 1; via amide nitrogen and carbonyl oxygen,BINDING:S-adenosyl-L-methionine 2,BINDING:S-adenosyl-L-methionine 2; via carbonyl oxygen,DOMAIN:Radical SAM core,METAL:Iron-sulfur (4Fe-4S-S-AdoMet),REGION:S-adenosyl-L-methionine 2 binding,
SinmeB_6168	peptidase S41(C770_RS22495)	Sinorhizobium meliloti GR4		GO:0016021~integral component of membrane,	GO:0009055~electron carrier activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR003468:Cytochrome c oxidase, monohaem subunit/FixO,IPR009056:Cytochrome c domain,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0349~Heme,KW-0408~Iron,	KW-0560~Oxidoreductase,		DOMAIN:Cytochrome c,TRANSMEM:Helical,
SinmeB_6008	polyamine ABC transporter permease(C770_RS23880)	Sinorhizobium meliloti GR4	GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR000515:Binding-protein-dependent transport systems inner membrane component,			KW-0813~Transport,	KW-0472~Membrane,					DOMAIN:ABC transmembrane type-1,TRANSMEM:Helical,
SinmeB_6196	protein norD(C770_RS22360)	Sinorhizobium meliloti GR4				IPR002035:von Willebrand factor, type A,		SM00327:VWA,							COMPBIAS:Basic and acidic residues,DOMAIN:VWFA,REGION:Disordered,
SinmeB_6182	pseudoazurin(C770_RS22425)	Sinorhizobium meliloti GR4		GO:0042597~periplasmic space,	GO:0005507~copper ion binding,GO:0009055~electron carrier activity,	IPR000923:Blue (type 1) copper domain,IPR001235:Blue (type 1) copper protein,IPR002386:Amicyanin,IPR008972:Cupredoxin,IPR012745:Pseudoazurin,				KW-0574~Periplasm,	KW-0732~Signal,				DOMAIN:Copper-bind,
SinmeB_6182	pseudoazurin(SM2011_RS03390)	Sinorhizobium meliloti 2011		GO:0042597~periplasmic space,	GO:0005507~copper ion binding,GO:0009055~electron carrier activity,	IPR000923:Blue (type 1) copper domain,IPR001235:Blue (type 1) copper protein,IPR002386:Amicyanin,IPR008972:Cupredoxin,IPR012745:Pseudoazurin,				KW-0574~Periplasm,	KW-0732~Signal,				DOMAIN:Copper-bind,
SinmeB_6170	pyridoxamine 5'-phosphate oxidase family protein(SM2011_RS03330)	Sinorhizobium meliloti 2011	GO:0009399~nitrogen fixation,			IPR012349:FMN-binding split barrel,IPR024747:Pyridoxamine 5'-phosphate oxidase-related,			KW-0535~Nitrogen fixation,
SinmeB_5456	response regulator(SM2011_RS00310)	Sinorhizobium meliloti 2011	GO:0000160~phosphorelay signal transduction system,			IPR001789:Signal transduction response regulator, receiver domain,IPR011006:CheY-like superfamily,		SM00448:REC,						KW-0597~Phosphoprotein,	DOMAIN:Response regulatory,
SinmeB_5740	reverse transcriptase(C770_RS18725)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,							KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		DOMAIN:Reverse transcriptase,
SinmeB_5740	reverse transcriptase(C770_RS21565)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,							KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		DOMAIN:Reverse transcriptase,
SinmeB_5740	reverse transcriptase(C770_RS22085)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,							KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		DOMAIN:Reverse transcriptase,
SinmeB_5740	reverse transcriptase(C770_RS22665)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,							KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		DOMAIN:Reverse transcriptase,
SinmeB_5740	reverse transcriptase(C770_RS23255)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,							KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		DOMAIN:Reverse transcriptase,
SinmeB_5740	reverse transcriptase(C770_RS24095)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,							KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		DOMAIN:Reverse transcriptase,
SinmeB_5230	thioredoxin(C770_RS18175)	Sinorhizobium meliloti GR4	GO:0006662~glycerol ether metabolic process,		GO:0015035~protein disulfide oxidoreductase activity,	IPR005746:Thioredoxin,IPR013766:Thioredoxin domain,IPR017937:Thioredoxin, conserved site,	PIRSF000077:thioredoxin,								DISULFID:Redox-active,DOMAIN:Thioredoxin,
SinmeB_5820	transporter(C770_RS24210)	Sinorhizobium meliloti GR4		GO:0016021~integral component of membrane,	GO:0022857~transmembrane transporter activity,	IPR002293:Amino acid/polyamine transporter I,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,
SinmeB_6189	universal stress protein(C770_RS22390)	Sinorhizobium meliloti GR4				IPR018720:Domain of unknown function DUF2249,									DOMAIN:DUF2249,
SinmeB_6175	universal stress protein(C770_RS22460)	Sinorhizobium meliloti GR4				IPR006015:Universal stress protein A,IPR006016:UspA,									DOMAIN:Usp,
SinmeB_6175	universal stress protein(SM2011_RS03355)	Sinorhizobium meliloti 2011				IPR006015:Universal stress protein A,IPR006016:UspA,									DOMAIN:Usp,
SinmeB_6218	virB8 family protein(SM2011_RS03570)	Sinorhizobium meliloti 2011	GO:0030255~protein secretion by the type IV secretion system,	GO:0016021~integral component of membrane,		IPR007430:Bacterial virulence protein VirB8,IPR026264:Type IV secretion system protein VirB8/PtlE,	PIRSF003299:type IV secretion system protein VirB8/PtlE,			KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:VirB8,TRANSMEM:Helical,
