ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE							
SinmeB_3162	ATP-dependent protease subunit HslV(hslV)	Sinorhizobium meliloti 2011	GO:0051603~proteolysis involved in cellular protein catabolic process,	GO:0005839~proteasome core complex,GO:0009376~HslUV protease complex,	GO:0004298~threonine-type endopeptidase activity,GO:0046872~metal ion binding,	IPR001353:Proteasome, subunit alpha/beta,IPR022281:ATP-dependent protease, HslV subunit,IPR023333:Proteasome B-type subunit,			KW-0346~Stress response,	KW-0963~Cytoplasm,	KW-0175~Coiled coil,	KW-0479~Metal-binding,KW-0915~Sodium,	KW-0378~Hydrolase,KW-0645~Protease,		METAL:Sodium	 via carbonyl oxygen,						
SinmeB_3928	ATP-grasp domain-containing protein(SM2011_RS10300)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0016874~ligase activity,GO:0046872~metal ion binding,	IPR011761:ATP-grasp fold,IPR013815:ATP-grasp fold, subdomain 1,						KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0436~Ligase,		DOMAIN:ATP-grasp,							
SinmeB_6197	ATPase AAA(C770_RS22355)	Sinorhizobium meliloti GR4			GO:0005524~ATP binding,	IPR011704:ATPase, dynein-related, AAA domain,IPR013615:CbbQ/NirQ/NorQ C-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,									DOMAIN:AAA_5,DOMAIN:CbbQ_C,							
SinmeB_4710	ATPase(C770_RS26245)	Sinorhizobium meliloti GR4		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0000155~phosphorelay sensor kinase activity,GO:0005524~ATP binding,	IPR003594:Histidine kinase-like ATPase, ATP-binding domain,IPR003661:Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain,IPR004358:Signal transduction histidine kinase-related protein, C-terminal,IPR005467:Signal transduction histidine kinase, core,IPR017055:Signal transduction histidine kinase, DctB (C4-dicarboxylate transport system regulator),	PIRSF036431:signal transduction histidine kinase DctB (C4-dicarboxylate transport system regulator),	SM00387:HATPase_c,SM00388:HisKA,	KW-0902~Two-component regulatory system,	KW-0472~Membrane,KW-0997~Cell inner membrane,	KW-0175~Coiled coil,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,	KW-0597~Phosphoprotein,	DOMAIN:Histidine kinase,							
SinmeB_3521	AraC family transcriptional regulator(SM2011_RS12310)	Sinorhizobium meliloti 2011			GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR009057:Homeodomain-like,IPR018060:DNA binding HTH domain, AraC-type,IPR018062:HTH domain AraC-type, conserved site,IPR020449:Transcription regulator HTH, AraC- type,		SM00342:HTH_ARAC,					KW-0238~DNA-binding,		DOMAIN:HTH araC/xylS-type,REGION:Disordered,							
SinmeB_3317	AraC family transcriptional regulator(SM2011_RS15410)	Sinorhizobium meliloti 2011			GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR009057:Homeodomain-like,IPR018060:DNA binding HTH domain, AraC-type,IPR018062:HTH domain AraC-type, conserved site,IPR020449:Transcription regulator HTH, AraC- type,		SM00342:HTH_ARAC,					KW-0238~DNA-binding,		DOMAIN:HTH araC/xylS-type,							
SinmeB_0752	AraC family transcriptional regulator(SM2011_RS20065)	Sinorhizobium meliloti 2011			GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR003313:Transcription regulator HTH, AraC, arabinose-binding/dimerisation,IPR009057:Homeodomain-like,IPR014710:RmlC-like jelly roll fold,IPR018060:DNA binding HTH domain, AraC-type,		SM00342:HTH_ARAC,	KW-0804~Transcription,KW-0805~Transcription regulation,						DOMAIN:HTH araC/xylS-type,							
SinmeB_2046	AraC family transcriptional regulator(SM2011_RS25695)	Sinorhizobium meliloti 2011			GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR009057:Homeodomain-like,IPR018060:DNA binding HTH domain, AraC-type,IPR018062:HTH domain AraC-type, conserved site,IPR020449:Transcription regulator HTH, AraC- type,		SM00342:HTH_ARAC,					KW-0238~DNA-binding,		DOMAIN:HTH araC/xylS-type,							
SinmeB_5506	ArsR family transcriptional regulator(C770_RS25120)	Sinorhizobium meliloti GR4			GO:0003700~transcription factor activity, sequence-specific DNA binding,	IPR001845:HTH ArsR-type DNA-binding domain,IPR011991:Winged helix-turn-helix DNA-binding domain,		SM00418:HTH_ARSR,							DOMAIN:HTH arsR-type,							
SinmeB_4717	ArsR family transcriptional regulator(C770_RS26280)	Sinorhizobium meliloti GR4			GO:0003700~transcription factor activity, sequence-specific DNA binding,	IPR001845:HTH ArsR-type DNA-binding domain,IPR011991:Winged helix-turn-helix DNA-binding domain,		SM00418:HTH_ARSR,							DOMAIN:HTH arsR-type,							
SinmeB_5443	BA14K family protein(SM2011_RS00250)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,	GO:0030246~carbohydrate binding,	IPR012413:BA14K-like,			KW-0843~Virulence,			KW-0430~Lectin,			COMPBIAS:Basic and acidic residues,REGION:Disordered,							
SinmeB_1797	BA14K family protein(SM2011_RS24455)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0030246~carbohydrate binding,	IPR012413:BA14K-like,			KW-0843~Virulence,	KW-0472~Membrane,	KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0430~Lectin,			TRANSMEM:Helical,							
SinmeB_0220	BrnT family toxin(SM2011_RS33385)	Sinorhizobium meliloti 2011				IPR007460:Burkholderia phage Bups phi1, Orf7.3,																
SinmeB_3739	C4-dicarboxylate ABC transporter permease(C770_RS28990)	Sinorhizobium meliloti GR4		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR007387:Tripartite ATP-independent periplasmic transporter, DctQ component,			KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,							
SinmeB_3740	C4-dicarboxylate ABC transporter permease(C770_RS28995)	Sinorhizobium meliloti GR4		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR004681:TRAP transporter permease protein,IPR010656:TRAP C4-dicarboxylate transport system permease DctM subunit,	PIRSF006066:TRAP transporter permease protein,			KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:DctM,TRANSMEM:Helical,							
SinmeB_4354	C4-dicarboxylate ABC transporter permease(C770_RS32125)	Sinorhizobium meliloti GR4		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR007387:Tripartite ATP-independent periplasmic transporter, DctQ component,			KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,							
SinmeB_4355	C4-dicarboxylate ABC transporter permease(C770_RS32130)	Sinorhizobium meliloti GR4		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR004681:TRAP transporter permease protein,IPR010656:TRAP C4-dicarboxylate transport system permease DctM subunit,	PIRSF006066:TRAP transporter permease protein,			KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:DctM,TRANSMEM:Helical,							
SinmeB_4796	C4-dicarboxylate ABC transporter substrate-binding protein(C770_RS26670)	Sinorhizobium meliloti GR4				IPR005064:Bordetella uptake gene,	PIRSF017082:protein YflP,				KW-0732~Signal,											
SinmeB_4795	C4-dicarboxylate ABC transporter(C770_RS26665)	Sinorhizobium meliloti GR4		GO:0016021~integral component of membrane,		IPR009936:Protein of unknown function DUF1468,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,							
SinmeB_3738	C4-dicarboxylate ABC transporter(C770_RS28985)	Sinorhizobium meliloti GR4	GO:0055085~transmembrane transport,	GO:0030288~outer membrane-bounded periplasmic space,		IPR004682:TRAP dicarboxylate transporter,IPR018389:Tripartite ATP-independent periplasmic transporter,	PIRSF006470:C4-dicarboxylate binding protein, DctB type,				KW-0732~Signal,											
SinmeB_0166	CAP domain-containing protein(SM2011_RS17085)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR014044:CAP domain,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:SCP,TRANSMEM:Helical,							
SinmeB_4955	CBS domain-containing protein(SM2011_RS12850)	Sinorhizobium meliloti 2011				IPR000644:Cystathionine beta-synthase, core,		SM00116:CBS,			KW-0129~CBS domain,				DOMAIN:CBS,REGION:Disordered,							
SinmeB_4426	CDP-paratose 2-epimerase(C770_RS32485)	Sinorhizobium meliloti GR4			GO:0003824~catalytic activity,GO:0016853~isomerase activity,GO:0047732~CDP-abequose epimerase activity,	IPR001509:NAD-dependent epimerase/dehydratase,							KW-0413~Isomerase,		DOMAIN:Epimerase,							
SinmeB_4473	CbbX protein(cbbX)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,	IPR000470:CbxX/CfqX, monofunctional,IPR000641:CbxX/CfqX,IPR003593:AAA+ ATPase domain,IPR003959:ATPase, AAA-type, core,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,				KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:AAA,							
SinmeB_3791	CerR family C-terminal domain-containing protein(SM2011_RS10985)	Sinorhizobium meliloti 2011			GO:0003677~DNA binding,	IPR001647:DNA-binding HTH domain, TetR-type,IPR009057:Homeodomain-like,IPR015292:Transcription regulator YbiH, C-terminal,							KW-0238~DNA-binding,		DNA_BIND:H-T-H motif,DOMAIN:HTH tetR-type,							
SinmeB_1085	CinA family protein(SM2011_RS21745)	Sinorhizobium meliloti 2011				IPR008136:CinA, C-terminal,							KW-0378~Hydrolase,		DOMAIN:CinA,							
SinmeB_2450	ComF family protein(SM2011_RS27725)	Sinorhizobium meliloti 2011	GO:0009116~nucleoside metabolic process,		GO:0016757~transferase activity, transferring glycosyl groups,	IPR000836:Phosphoribosyltransferase domain,							KW-0328~Glycosyltransferase,KW-0808~Transferase,		DOMAIN:DZR_2,DOMAIN:Pribosyltran,							
SinmeB_1970	CreA family protein(SM2011_RS25315)	Sinorhizobium meliloti 2011				IPR010292:Uncharacterised protein family CreA,	PIRSF003174:protein CreA,				KW-0732~Signal,											
SinmeB_2316	Crp/Fnr family transcriptional regulator(SM2011_RS27030)	Sinorhizobium meliloti 2011	GO:0006355~regulation of transcription, DNA-templated,		GO:0003677~DNA binding,	IPR000595:Cyclic nucleotide-binding domain,IPR012318:Helix-turn-helix motif, Crp-type,IPR014710:RmlC-like jelly roll fold,IPR018490:Cyclic nucleotide-binding-like,							KW-0238~DNA-binding,		DOMAIN:HTH crp-type,							
SinmeB_5654	CsbD family protein(SM2011_RS05710)	Sinorhizobium meliloti 2011				IPR008462:CsbD-like,									DOMAIN:CsbD,REGION:Disordered,							
SinmeB_3760	CsbD family protein(SM2011_RS11135)	Sinorhizobium meliloti 2011				IPR008462:CsbD-like,IPR026042:Stress response protein YjbJ,	PIRSF039008:stress response protein YjbJ,								DOMAIN:CsbD,							
SinmeB_1995	D-alanine--D-alanine ligase(SM2011_RS25435)	Sinorhizobium meliloti 2011	GO:0008360~regulation of cell shape,GO:0009252~peptidoglycan biosynthetic process,GO:0071555~cell wall organization,	GO:0005737~cytoplasm,	GO:0005524~ATP binding,GO:0008716~D-alanine-D-alanine ligase activity,GO:0046872~metal ion binding,	IPR000291:D-alanine--D-alanine ligase/VANA/B/C, conserved site,IPR005905:D-alanine--D-alanine ligase,IPR011095:D-alanine--D-alanine ligase, C-terminal,IPR011127:D-alanine--D-alanine ligase, N-terminal domain,IPR011761:ATP-grasp fold,IPR013815:ATP-grasp fold, subdomain 1,IPR016185:Pre-ATP-grasp domain,			KW-0133~Cell shape,KW-0573~Peptidoglycan synthesis,KW-0961~Cell wall biogenesis/degradation,KW-9998~Cell wall biogenesis/degradation,	KW-0963~Cytoplasm,		KW-0067~ATP-binding,KW-0460~Magnesium,KW-0464~Manganese,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0436~Ligase,		DOMAIN:ATP-grasp,METAL:Magnesium or manganese 1,METAL:Magnesium or manganese 2,NP_BIND:ATP,							
SinmeB_1279	D-alanyl-D-alanine carboxypeptidase(SM2011_RS22510)	Sinorhizobium meliloti 2011	GO:0008360~regulation of cell shape,GO:0009252~peptidoglycan biosynthetic process,GO:0071555~cell wall organization,	GO:0016021~integral component of membrane,	GO:0009002~serine-type D-Ala-D-Ala carboxypeptidase activity,	IPR001967:Peptidase S11, D-alanyl-D-alanine carboxypeptidase A, N-terminal,IPR012338:Beta-lactamase/transpeptidase-like,IPR012907:Peptidase S11, D-Ala-D-Ala carboxypeptidase A, C-terminal,IPR015956:Penicillin-binding protein-associated,IPR018044:Peptidase S11, D-alanyl-D-alanine carboxypeptidase A,		SM00936:SM00936,	KW-0133~Cell shape,KW-0573~Peptidoglycan synthesis,KW-0961~Cell wall biogenesis/degradation,KW-9998~Cell wall biogenesis/degradation,	KW-0472~Membrane,	KW-0732~Signal,KW-0812~Transmembrane,		KW-0378~Hydrolase,KW-0645~Protease,		DOMAIN:PBP5_C,							
SinmeB_5050	D-xylose ABC transporter substrate-binding protein(xylF)	Sinorhizobium meliloti 2011	GO:0015753~D-xylose transport,		GO:0048029~monosaccharide binding,	IPR013456:D-xylose ABC transporter, substrate-binding protein,IPR025997:Periplasmic binding protein domain,					KW-0732~Signal,				DOMAIN:Peripla_BP_4,							
SinmeB_2727	DHA2 family efflux MFS transporter permease subunit(SM2011_RS29125)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0022857~transmembrane transporter activity,	IPR004638:Drug resistance transporter EmrB/QacA subfamily,IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain,				KW-0472~Membrane,	KW-0812~Transmembrane,				DOMAIN:MFS,TRANSMEM:Helical,							
SinmeB_5551	DJ-1/PfpI family protein(SM2011_RS00760)	Sinorhizobium meliloti 2011			GO:0008233~peptidase activity,	IPR002818:ThiJ/PfpI,IPR006286:Peptidase C56, PfpI,							KW-0378~Hydrolase,KW-0645~Protease,		DOMAIN:DJ-1_PfpI,							
SinmeB_0648	DMT family transporter(SM2011_RS19555)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR000620:Drug/metabolite transporter,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:EamA,TRANSMEM:Helical,							
SinmeB_0827	DMT family transporter(SM2011_RS20425)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR000620:Drug/metabolite transporter,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:EamA,TRANSMEM:Helical,							
SinmeB_4990	DNA helicase(C770_RS27625)	Sinorhizobium meliloti GR4	GO:0006303~double-strand break repair via nonhomologous end joining,GO:0006310~DNA recombination,		GO:0003690~double-stranded DNA binding,	IPR006164:Ku70/Ku80 beta-barrel domain,IPR009187:Predicted Ku, prokaryotic type,IPR016194:SPOC like C-terminal domain,	PIRSF006493:Ku DNA-binding protein, prokaryotic type,	SM00559:Ku78,	KW-0227~DNA damage,KW-0233~DNA recombination,KW-0234~DNA repair,						DOMAIN:Ku,REGION:Disordered,							
SinmeB_0781	DNA polymerase III subunit chi(SM2011_RS20200)	Sinorhizobium meliloti 2011	GO:0006260~DNA replication,		GO:0003677~DNA binding,GO:0003887~DNA-directed DNA polymerase activity,	IPR007459:DNA polymerase III chi subunit, HolC,							KW-0548~Nucleotidyltransferase,KW-0808~Transferase,									
SinmeB_1277	DNA polymerase III subunit delta'(SM2011_RS22500)	Sinorhizobium meliloti 2011			GO:0003887~DNA-directed DNA polymerase activity,	IPR027417:P-loop containing nucleoside triphosphate hydrolase,							KW-0548~Nucleotidyltransferase,KW-0808~Transferase,									
SinmeB_2146	DNA primase(dnaG)	Sinorhizobium meliloti 2011		GO:1990077~primosome complex,	GO:0003677~DNA binding,GO:0003896~DNA primase activity,GO:0008270~zinc ion binding,	IPR002694:Zinc finger, CHC2-type,IPR006171:Toprim domain,IPR006295:DNA primase, DnaG,IPR013264:DNA primase, catalytic core, N-terminal,IPR019475:DNA primase, DnaB-helicase binding domain,	PIRSF002811:DNA primase,	SM00400:ZnF_CHCC,SM00493:TOPRIM,		KW-0639~Primosome,	KW-0175~Coiled coil,	KW-0460~Magnesium,KW-0862~Zinc,			DOMAIN:Toprim,REGION:Disordered,ZN_FING:CHC2-type,							
SinmeB_4989	DNA repair protein(C770_RS27620)	Sinorhizobium meliloti GR4	GO:0006303~double-strand break repair via nonhomologous end joining,GO:0006310~DNA recombination,		GO:0003690~double-stranded DNA binding,	IPR006164:Ku70/Ku80 beta-barrel domain,IPR009187:Predicted Ku, prokaryotic type,IPR016194:SPOC like C-terminal domain,	PIRSF006493:Ku DNA-binding protein, prokaryotic type,	SM00559:Ku78,	KW-0227~DNA damage,KW-0233~DNA recombination,KW-0234~DNA repair,						DOMAIN:Ku,							
SinmeB_3292	DNA replication/repair protein RecF(recF)	Sinorhizobium meliloti 2011	GO:0006260~DNA replication,GO:0006281~DNA repair,GO:0009432~SOS response,	GO:0005737~cytoplasm,	GO:0003697~single-stranded DNA binding,GO:0005524~ATP binding,	IPR001238:DNA-binding, RecF,IPR003395:RecF/RecN/SMC,IPR003593:AAA+ ATPase domain,IPR018078:DNA-binding, RecF, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0227~DNA damage,KW-0234~DNA repair,KW-0235~DNA replication,KW-0742~SOS response,	KW-0963~Cytoplasm,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0238~DNA-binding,		DOMAIN:AAA,NP_BIND:ATP,							
SinmeB_0825	DNA topoisomerase IV subunit A(parC)	Sinorhizobium meliloti 2011	GO:0006265~DNA topological change,GO:0007059~chromosome segregation,	GO:0005694~chromosome,GO:0019897~extrinsic component of plasma membrane,	GO:0003677~DNA binding,GO:0003918~DNA topoisomerase type II (ATP-hydrolyzing) activity,GO:0005524~ATP binding,	IPR002205:DNA topoisomerase, type IIA, subunit A/C-terminal,IPR005742:DNA topoisomerase IV, subunit A, Gram-negative,IPR006691:DNA gyrase/topoisomerase IV, subunit A, C-terminal beta-pinwheel,IPR013757:Type IIA DNA topoisomerase subunit A, alpha-helical domain,IPR013758:DNA topoisomerase, type IIA, subunit A/ C-terminal, alpha-beta,IPR013760:DNA topoisomerase, type IIA-like domain,		SM00434:TOP4c,		KW-0472~Membrane,KW-1003~Cell membrane,			KW-0238~DNA-binding,KW-0413~Isomerase,KW-0799~Topoisomerase,		ACT_SITE:O-(5'-phospho-DNA)-tyrosine intermediate,DOMAIN:TOP4c,SITE:Interaction with DNA,SITE:Transition state stabilizer,							
SinmeB_4952	DNA topoisomerase(C770_RS27430)	Sinorhizobium meliloti GR4	GO:0006265~DNA topological change,		GO:0003677~DNA binding,GO:0003917~DNA topoisomerase type I activity,	IPR001631:DNA topoisomerase I,IPR011010:DNA breaking-rejoining enzyme, catalytic core,IPR013500:DNA topoisomerase I, catalytic core, eukaryotic-type,IPR014711:DNA topoisomerase I, catalytic core, alpha-helical subdomain, eukaryotic-type,							KW-0238~DNA-binding,KW-0413~Isomerase,KW-0799~Topoisomerase,		DOMAIN:Topoisom_I,							
SinmeB_2961	DNA translocase FtsK(SM2011_RS30660)	Sinorhizobium meliloti 2011	GO:0007049~cell cycle,GO:0007059~chromosome segregation,GO:0051301~cell division,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0003677~DNA binding,GO:0005524~ATP binding,	IPR002543:Cell division protein FtsK/SpoIIIE,IPR003593:AAA+ ATPase domain,IPR018541:DNA translocase FtsK gamma,IPR025199:Domain of unknown function DUF4117,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,SM00843:SM00843,	KW-0131~Cell cycle,KW-0132~Cell division,KW-0159~Chromosome partition,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0238~DNA-binding,		DOMAIN:FtsK,NP_BIND:ATP,REGION:Disordered,TOPO_DOM:Cytoplasmic,TRANSMEM:Helical,							
SinmeB_0885	DNA-binding protein HupB(hupB)	Sinorhizobium meliloti 2011	GO:0030261~chromosome condensation,		GO:0003677~DNA binding,	IPR000119:Histone-like bacterial DNA-binding protein,IPR010992:Integration host factor (IHF)-like DNA-binding domain,IPR020816:Histone-like DNA-binding protein, conserved site,		SM00411:BHL,	KW-0226~DNA condensation,				KW-0238~DNA-binding,									
SinmeB_1475	DNA/RNA nuclease SfsA(sfsA)	Sinorhizobium meliloti 2011			GO:0003677~DNA binding,	IPR005224:Sugar fermentation stimulation protein,									DOMAIN:SfsA,DOMAIN:SfsA_N,							
SinmeB_4190	DUF1127 domain-containing protein(SM2011_RS08985)	Sinorhizobium meliloti 2011									KW-0732~Signal,											
SinmeB_0380	DUF1127 domain-containing protein(SM2011_RS18225)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR009506:Protein of unknown function DUF1127,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				REGION:Disordered,TRANSMEM:Helical,							
SinmeB_0046	DUF1150 family protein(SM2011_RS16415)	Sinorhizobium meliloti 2011				IPR009531:Protein of unknown function DUF1150,																
SinmeB_2447	DUF1178 family protein(SM2011_RS27710)	Sinorhizobium meliloti 2011				IPR009562:Protein of unknown function DUF1178,	PIRSF032131:uncharacterized conserved protein,				KW-0175~Coiled coil,											
SinmeB_4226	DUF1236 domain-containing protein(SM2011_RS08775)	Sinorhizobium meliloti 2011				IPR009642:Protein of unknown function DUF1236,					KW-0732~Signal,											
SinmeB_4917	DUF1236 domain-containing protein(SM2011_RS13035)	Sinorhizobium meliloti 2011				IPR009642:Protein of unknown function DUF1236,					KW-0732~Signal,											
SinmeB_1430	DUF1236 domain-containing protein(SM2011_RS22930)	Sinorhizobium meliloti 2011				IPR009642:Protein of unknown function DUF1236,					KW-0732~Signal,											
SinmeB_2161	DUF1236 domain-containing protein(SM2011_RS26260)	Sinorhizobium meliloti 2011				IPR003646:SH3-like domain, bacterial,IPR009642:Protein of unknown function DUF1236,					KW-0732~Signal,				DOMAIN:SH3b,							
SinmeB_6614	DUF1269 domain-containing protein(SM2011_RS04580)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR009200:Protein of unknown function DUF1269, membrane associated,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,							
SinmeB_0075	DUF1269 domain-containing protein(SM2011_RS16550)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR009200:Protein of unknown function DUF1269, membrane associated,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,							
SinmeB_1635	DUF1289 domain-containing protein(SM2011_RS23980)	Sinorhizobium meliloti 2011				IPR010710:Protein of unknown function DUF1289,									REGION:Disordered,							
SinmeB_3289	DUF1326 domain-containing protein(SM2011_RS15265)	Sinorhizobium meliloti 2011				IPR009758:Protein of unknown function DUF1326,IPR014581:Uncharacterised conserved protein UCP033303,	PIRSF033303:uncharacterized conserved protein,															
SinmeB_3437	DUF1330 domain-containing protein(SM2011_RS16000)	Sinorhizobium meliloti 2011				IPR010753:Protein of unknown function DUF1330,IPR011008:Dimeric alpha-beta barrel,									DOMAIN:DUF1330,							
SinmeB_2604	DUF1465 family protein(SM2011_RS28500)	Sinorhizobium meliloti 2011				IPR010848:Protein of unknown function DUF1465,																
SinmeB_0910	DUF1467 family protein(SM2011_RS20855)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR009935:Protein of unknown function DUF1467,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,							
SinmeB_1038	DUF1489 family protein(SM2011_RS21515)	Sinorhizobium meliloti 2011				IPR008320:Uncharacterised conserved protein UCP032025,	PIRSF032025:uncharacterized conserved protein,															
SinmeB_3092	DUF1674 domain-containing protein(SM2011_RS31335)	Sinorhizobium meliloti 2011				IPR012875:Protein of unknown function DUF1674,									COMPBIAS:Basic and acidic residues,REGION:Disordered,							
SinmeB_1054	DUF1697 domain-containing protein(SM2011_RS21590)	Sinorhizobium meliloti 2011				IPR012545:Protein of unknown function DUF1697,	PIRSF008502:uncharacterized conserved protein,															
SinmeB_1961	DUF1772 domain-containing protein(SM2011_RS25270)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,						KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,							
SinmeB_0669	DUF2147 domain-containing protein(SM2011_RS19645)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR019223:Domain of unknown function DUF2147,				KW-0472~Membrane,	KW-0732~Signal,KW-0812~Transmembrane,				DOMAIN:DUF2147,							
SinmeB_2847	DUF2160 domain-containing protein(SM2011_RS29770)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR018678:Protein of unknown function DUF2160, transmembrane,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,							
SinmeB_5733	DUF2189 domain-containing protein(SM2011_RS01685)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR018692:Protein of unknown function DUF2189,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,							
SinmeB_6659	DUF2218 domain-containing protein(SM2011_RS04780)	Sinorhizobium meliloti 2011			GO:0016491~oxidoreductase activity,	IPR007037:Siderophore-interacting protein,IPR013113:FAD-binding 9, siderophore-interacting,IPR014543:Uncharacterised conserved protein UCP028291,IPR017927:Ferredoxin reductase-type FAD-binding domain,IPR017938:Riboflavin synthase-like beta-barrel,									DOMAIN:FAD-binding FR-type,							
SinmeB_3734	DUF2231 domain-containing protein(SM2011_RS11265)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR016923:Uncharacterised conserved protein UCP029509, membrane,IPR019251:Domain of unknown function DUF2231, transmembrane,	PIRSF029509:membrane protein,			KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:DUF2231,TRANSMEM:Helical,							
SinmeB_1053	DUF2267 domain-containing protein(SM2011_RS21585)	Sinorhizobium meliloti 2011				IPR018727:Protein of unknown function DUF2267,																
SinmeB_1624	DUF2270 domain-containing protein(SM2011_RS23925)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR014470:Uncharacterised conserved protein UCP01500,	PIRSF015000:uncharacterized conserved protein,			KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				REGION:Disordered,TRANSMEM:Helical,							
SinmeB_2250	DUF2325 domain-containing protein(SM2011_RS26710)	Sinorhizobium meliloti 2011				IPR016772:Uncharacterised conserved protein UCP020408,									REGION:Disordered,							
